Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
breast-cancer,H2O-ERT,4,"{'ntrees': 10, 'histogram_type': 'Random', 'max_depth': 6}",0.3793103448275862,0.6194444444444445,0.7527777777777778,0.2352941176470588,0.5194444444444445,0.3648600303023092,1.0510568860918283,5.9245376815569815
breast-cancer,H2O-ERT,5,"{'ntrees': 20, 'histogram_type': 'Random', 'max_depth': 4}",0.6551724137931034,0.975,1.0,0.0,0.525,0.32142857142857145,1.0789987174794078,6.558328995416905
breast-cancer,H2O-ERT,6,"{'ntrees': 10, 'histogram_type': 'Random', 'max_depth': 5}",0.32142857142857145,0.5375,0.6625,0.2380952380952381,0.49375,0.3415091852591853,1.0381066659465432,7.1748493771467885
breast-cancer,H2O-ERT,7,"{'ntrees': 80, 'histogram_type': 'Random', 'max_depth': 7}",0.2857142857142857,0.5,0.8125,0.16666666666666666,0.646875,0.4341852226720648,1.4222773825749755,24.47339506553752
breast-cancer,H2O-ERT,8,"{'ntrees': 80, 'histogram_type': 'Random', 'max_depth': 6}",0.25,0.45,0.75,0.19047619047619047,0.63125,0.4522994306418219,3.5394860822707415,6.413178152537773
breast-cancer,H2O-ERT,9,"{'ntrees': 20, 'histogram_type': 'Random', 'max_depth': 7}",0.32142857142857145,0.55,0.775,0.13333333333333333,0.68125,0.4294048342961386,1.0159538062289355,5.8706462649362425
plant-shape,H2O-ERT,0,"{'ntrees': 20, 'histogram_type': 'Random', 'max_depth': 4}",0.00625,0.01,0.011363636363636364,6.25e-05,0.4911911870074039,0.6635690235690236,7.68197760451585,4.324729676591232
plant-shape,H2O-ERT,1,"{'ntrees': 10, 'histogram_type': 'Random', 'max_depth': 3}",0.0,0.0,0.011212121212121213,0.0,0.4961715826765386,0.6795791245791245,3.839912290684879,5.642250861274079
plant-shape,H2O-ERT,2,"{'ntrees': 10, 'histogram_type': 'Random', 'max_depth': 5}",0.0,0.0,0.01,0.0,0.4886789467399092,0.7044528619528619,6.6749674417078495,4.3010314053390175
plant-shape,H2O-ERT,3,"{'ntrees': 80, 'histogram_type': 'Random', 'max_depth': 4}",0.0,0.0,0.0098989898989899,0.0,0.4910446023405779,0.6928367003367003,3.565334223210812,17.023126158164814
plant-shape,H2O-ERT,4,"{'ntrees': 40, 'histogram_type': 'Random', 'max_depth': 5}",0.0,0.0,0.01,0.0,0.4810964493272829,0.7144865319865319,6.256543087773025,4.2173613677732655
plant-shape,H2O-ERT,5,"{'ntrees': 10, 'histogram_type': 'Random', 'max_depth': 7}",0.00625,0.005,0.011414141414141415,6.329113924050633e-05,0.4893080765862591,0.6782912457912458,5.266795779578388,7.825901935575532
plant-shape,H2O-ERT,6,"{'ntrees': 10, 'histogram_type': 'Random', 'max_depth': 5}",0.0125,0.01,0.011414141414141415,0.000125,0.4876982326247912,0.7020454545454545,8.946617865934966,11.511786928167567
plant-shape,H2O-ERT,7,"{'ntrees': 60, 'histogram_type': 'Random', 'max_depth': 7}",0.00625,0.005,0.011414141414141415,6.289308176100629e-05,0.4967384165273466,0.6978703703703704,8.880608608946202,13.626537489471955
plant-shape,H2O-ERT,8,"{'ntrees': 90, 'histogram_type': 'Random', 'max_depth': 3}",0.00625,0.005,0.011262626262626262,6.289308176100629e-05,0.4937978664119098,0.6900925925925925,2.9388328287750483,4.335587692912668
plant-shape,H2O-ERT,9,"{'ntrees': 10, 'histogram_type': 'Random', 'max_depth': 4}",0.0,0.0,0.010454545454545454,0.0,0.4908178090916328,0.7316329966329965,7.107372529804707,21.483129431726407
wine-quality-white,H2O-ERT,0,"{'ntrees': 50, 'histogram_type': 'Random', 'max_depth': 4}",0.004081632653061225,0.24280303030303035,0.249601860669548,0.0006802721088435375,0.5544076456872318,0.6076646086383525,2.340036265552044,3.1841434766443406
wine-quality-white,H2O-ERT,1,"{'ntrees': 10, 'histogram_type': 'Random', 'max_depth': 4}",0.004081632653061225,0.23787878787878794,0.2429279295778088,0.0006802721088435375,0.5430488038207056,0.6223068614939853,0.3553941072896123,1.2556124212486404
wine-quality-white,H2O-ERT,2,"{'ntrees': 70, 'histogram_type': 'Random', 'max_depth': 3}",0.004081632653061225,0.2553030303030303,0.2445250653187801,0.0006802721088435375,0.496094496144889,0.5901439885762252,0.38793474156409496,1.3107991416235358
wine-quality-white,H2O-ERT,3,"{'ntrees': 60, 'histogram_type': 'Random', 'max_depth': 3}",0.004081632653061225,0.24411764705882355,0.200479011654475,0.0005830903790087465,0.5694973805859538,0.6114302683666587,0.5988857829943299,1.9025701554302048
wine-quality-white,H2O-ERT,4,"{'ntrees': 10, 'histogram_type': 'Random', 'max_depth': 6}",0.004081632653061225,0.2152597402597402,0.1833674752590949,0.0005830903790087465,0.5133989458203955,0.6059434676312888,0.5332624129950999,1.0077992359138264
wine-quality-white,H2O-ERT,5,"{'ntrees': 10, 'histogram_type': 'Random', 'max_depth': 3}",0.004081632653061225,0.20876623376623374,0.2325457987095918,0.0005830903790087465,0.5335306114390279,0.5699665838199199,2.114579319022596,1.2262853831813043
wine-quality-white,H2O-ERT,6,"{'ntrees': 20, 'histogram_type': 'Random', 'max_depth': 6}",0.004081632653061225,0.21558441558441555,0.1923415186346221,0.0005830903790087465,0.5323471732977132,0.6466070675128259,1.3046680679544806,1.25006927861547
wine-quality-white,H2O-ERT,7,"{'ntrees': 60, 'histogram_type': 'Random', 'max_depth': 3}",0.004081632653061225,0.22124819624819625,0.1828115929409033,0.0005830903790087465,0.5841372323933121,0.5777039461627693,0.5726061929017305,1.0702160738256512
wine-quality-white,H2O-ERT,8,"{'ntrees': 90, 'histogram_type': 'Random', 'max_depth': 3}",0.00408997955010225,0.2584405700844057,0.25110263594852633,0.0006816632583503749,0.5061368162510909,0.5751488740008399,0.8938009012490511,0.8280529071155989
wine-quality-white,H2O-ERT,9,"{'ntrees': 90, 'histogram_type': 'Random', 'max_depth': 3}",0.00408997955010225,0.2521418523130852,0.2322995941146626,0.0006816632583503749,0.5272455722057137,0.6057852287115217,0.9954781224951148,1.2952412644321205
zoo,H2O-ERT,0,"{'ntrees': 70, 'histogram_type': 'Random', 'max_depth': 3}",0.0,0.0,0.2261904761904762,0.0,0.19842989827509955,0.6890859140859141,0.574634013697505,19.44508793808165
zoo,H2O-ERT,1,"{'ntrees': 40, 'histogram_type': 'Random', 'max_depth': 3}",0.0,0.0,0.2380952380952381,0.0,0.2467934542237948,0.7655372405372405,0.6016487972810864,8.91371980486881
