Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
bank,Catboost,5,"{'learning_rate': 0.4982358794533171, 'max_depth': 5, 'n_estimators': 225}",0.8738938053097345,0.5885204081632653,0.4114795918367347,0.5714285714285714,0.1288690476190476,0.07555102424650098,1.9372892000010324,0.047484513272412085
bank,Catboost,6,"{'learning_rate': 0.41882067490181113, 'max_depth': 6, 'n_estimators': 225}",0.8938053097345132,0.7075730471079308,0.2924269528920692,0.7073170731707317,0.09683959451401311,0.08064587619586767,1.0537471999996342,0.04219535398143122
bank,Catboost,7,"{'learning_rate': 0.25370375697991643, 'max_depth': 5, 'n_estimators': 200}",0.9026548672566371,0.6773076923076923,0.3226923076923077,0.625,0.14615384615384613,0.06626840466223957,10.8050805999992,0.04130398230168729
bank,Catboost,8,"{'learning_rate': 0.37236223281005326, 'max_depth': 8, 'n_estimators': 225}",0.918141592920354,0.6942064681944742,0.3057935318055258,0.6551724137931034,0.11378239451702721,0.057445897308854056,6.1586555000012595,0.06049756637093301
bank,Catboost,9,"{'learning_rate': 0.4428244859166224, 'max_depth': 7, 'n_estimators': 200}",0.9269911504424779,0.7376847290640394,0.2623152709359606,0.696969696969697,0.08186977939601628,0.056363532331199596,2.660255499999039,0.03553207964622606
baseball,Catboost,0,"{'learning_rate': 0.20611387681422266, 'max_depth': 5, 'n_estimators': 75}",0.8955223880597015,0.5174501424501424,0.21901709401709402,0.5854626403406891,0.9483663721899016,0.7696387822457224,2.3766689999993105,0.11691044776975403
baseball,Catboost,1,"{'learning_rate': 0.47516829909450864, 'max_depth': 5, 'n_estimators': 175}",0.9552238805970149,0.5833333333333334,0.13333333333333333,0.6538461538461539,0.9819188365467436,0.8638006173424341,28.715628899997682,0.19237537314587988
baseball,Catboost,2,"{'learning_rate': 0.08708397441913615, 'max_depth': 8, 'n_estimators': 225}",0.9253731343283582,0.581791945428309,0.17994883903974812,0.8148148148148149,0.9674312507588053,0.8604576429628138,1.6072132000008423,0.15661044777353614
baseball,Catboost,3,"{'learning_rate': 0.09009602708297187, 'max_depth': 7, 'n_estimators': 200}",0.8880597014925373,0.5221288515406163,0.2389355742296919,0.6066666666666666,0.9228394808786229,0.7719601547426617,0.957788800002163,0.021814925357423125
baseball,Catboost,4,"{'learning_rate': 0.4428244859166224, 'max_depth': 7, 'n_estimators': 200}",0.9104477611940298,0.5511204481792716,0.22303921568627452,0.6623112659698025,0.9374660887977239,0.7913380481042278,1.8326856999992742,0.023344029858578065
baseball,Catboost,5,"{'learning_rate': 0.1583572902152075, 'max_depth': 7, 'n_estimators': 200}",0.9552238805970149,0.7476190476190476,0.1261904761904762,0.7592165898617512,0.9757813343890923,0.8142600151316973,0.7915970000030939,0.02081492537182561
baseball,Catboost,6,"{'learning_rate': 0.0711033230434345, 'max_depth': 8, 'n_estimators': 225}",0.9925373134328358,0.8333333333333334,0.08333333333333333,0.9974160206718347,0.9788115530303031,0.9006780681922208,0.4181469000031939,0.019320149245930823
baseball,Catboost,7,"{'learning_rate': 0.1605565003054823, 'max_depth': 6, 'n_estimators': 125}",0.917910447761194,0.5656707127295363,0.16946778711484592,0.6530054644808744,0.9584090608465609,0.7896427658835862,0.27730269999665325,0.026802985086027575
baseball,Catboost,8,"{'learning_rate': 0.03555358642094008, 'max_depth': 6, 'n_estimators': 225}",0.9328358208955224,0.7304131054131053,0.1347934472934473,0.8168044077134987,0.9409414996767937,0.8551019671043688,10.21108550000281,0.1588820895408593
baseball,Catboost,9,"{'learning_rate': 0.16087550489283214, 'max_depth': 8, 'n_estimators': 225}",0.9477611940298507,0.7115975422427034,0.14420122887864822,0.8228346456692913,0.9542088565880754,0.902302679179435,6.106669100001454,0.14666641789571896
blood,Catboost,0,"{'learning_rate': 0.48766181822798166, 'max_depth': 7, 'n_estimators': 225}",0.8266666666666667,0.6215880893300247,0.37841191066997515,0.5,0.26054590570719605,0.12409768072036585,1.107287400001951,0.16231999994488433
blood,Catboost,1,"{'learning_rate': 0.47820170297070963, 'max_depth': 8, 'n_estimators': 200}",0.8,0.6004056795131846,0.39959432048681537,0.6666666666666666,0.25862068965517243,0.16532452079941323,0.5317244000034407,0.14012400002684444
