Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
echocardiogram,catboost,4,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.4107367096352382}",0.8461538461538461,0.75,0.25,1.0,0.3611111111111112,0.3394230769230769,0.29672843078151345,0.6885446894627351
echocardiogram,catboost,5,"{'verbose': False, 'n_estimators': 175, 'learning_rate': 0.4369610998938077}",0.9230769230769232,0.875,0.125,1.0,0.0,0.2098776223776224,0.22264822106808424,1.0901265419446504
echocardiogram,catboost,6,"{'verbose': False, 'n_estimators': 225, 'learning_rate': 0.2856680865182128}",0.7692307692307693,0.625,0.375,1.0,0.02777777777777779,0.2126554001554002,0.2776208398863673,0.8692497459168618
echocardiogram,catboost,7,"{'verbose': False, 'n_estimators': 175, 'learning_rate': 0.33578140467590045}",0.9230769230769232,0.875,0.125,1.0,0.2777777777777778,0.2701048951048951,0.20070377876982093,1.0909648397221017
echocardiogram,catboost,8,"{'verbose': False, 'n_estimators': 200, 'learning_rate': 0.10622311874204196}",0.8461538461538461,0.8,0.2,1.0,0.425,0.3805555555555555,0.20059190597385168,1.0499215971391935
echocardiogram,catboost,9,"{'verbose': False, 'n_estimators': 225, 'learning_rate': 0.49832622472914734}",0.8461538461538461,0.8,0.2,1.0,0.35,0.3447186147186147,0.612284648232162,1.0520930831822066
chscase_vine1,catboost,0,"{'verbose': False, 'n_estimators': 100, 'learning_rate': 0.3058816689344499}",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5555555555555556,0.5888888888888889,0.5109965139999986,2.2892728447914124
chscase_vine1,catboost,1,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.41798969583433027}",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.6666666666666667,0.2063520490191877,2.0939276243249574
chscase_vine1,catboost,2,"{'verbose': False, 'n_estimators': 175, 'learning_rate': 0.43233430829275477}",0.8,0.8333333333333333,0.16666666666666666,1.0,0.16666666666666666,0.5333333333333333,0.16332577308639884,1.9820936024188995
chscase_vine1,catboost,3,"{'verbose': False, 'n_estimators': 175, 'learning_rate': 0.2574588324609598}",0.8,0.75,0.25,0.75,0.5,0.6388888888888888,0.41685330495238304,2.6131844148039822
chscase_vine1,catboost,4,"{'verbose': False, 'n_estimators': 150, 'learning_rate': 0.4970736254237612}",0.8,0.75,0.25,1.0,0.0,0.325,0.20133155677467585,2.3140892386436462
chscase_vine1,catboost,5,"{'verbose': False, 'n_estimators': 150, 'learning_rate': 0.4893741741610975}",0.8,0.8333333333333333,0.16666666666666666,0.6666666666666666,0.33333333333333337,0.4166666666666666,0.3106564092449844,2.5271265767514706
chscase_vine1,catboost,6,"{'verbose': False, 'n_estimators': 200, 'learning_rate': 0.4327240647328729}",0.8,0.75,0.25,1.0,0.0,0.325,0.19611650705337524,2.3353763855993748
chscase_vine1,catboost,7,"{'verbose': False, 'n_estimators': 200, 'learning_rate': 0.4998226556904765}",0.8,0.8333333333333333,0.16666666666666666,0.6666666666666666,0.5,0.7,0.5936479531228542,3.1361942179501057
chscase_vine1,catboost,8,"{'verbose': False, 'n_estimators': 100, 'learning_rate': 0.22978789118473864}",1.0,1.0,0.0,1.0,0.5,0.7,0.6689586280845106,3.0692904256284237
chscase_vine1,catboost,9,"{'verbose': False, 'n_estimators': 200, 'learning_rate': 0.24773822570897625}",1.0,1.0,0.0,1.0,0.0,0.325,0.21893651317805046,2.5710015557706356
visualizing_livestock,catboost,0,"{'verbose': False, 'n_estimators': 100, 'learning_rate': 0.027731707705693526}",0.5384615384615384,0.7272727272727273,0.2727272727272727,1.0,0.43181818181818177,0.8696293605384515,1.1921664569526909,0.7377165154768871
visualizing_livestock,catboost,1,"{'verbose': False, 'n_estimators': 50, 'learning_rate': 0.01645968746254838}",0.8461538461538461,0.5,0.5,0.8461538461538461,0.8636363636363636,0.9777495232040686,1.278347142972052,1.0992372050308263
visualizing_livestock,catboost,2,"{'verbose': False, 'n_estimators': 200, 'learning_rate': 0.49604202927665164}",0.8461538461538461,0.9090909090909092,0.09090909090909093,1.0,1.0,1.0,0.6395912799052894,0.8678685587186079
visualizing_livestock,catboost,3,"{'verbose': False, 'n_estimators': 100, 'learning_rate': 0.044078916754870454}",0.6153846153846154,0.3636363636363637,0.6363636363636364,0.8,0.8181818181818182,0.9720279720279721,0.9052540939301252,1.0781749868049073
visualizing_livestock,catboost,4,"{'verbose': False, 'n_estimators': 125, 'learning_rate': 0.41798969583433027}",1.0,1.0,0.0,1.0,1.0,1.0,0.20199287589639425,0.9896774919560324
visualizing_livestock,catboost,5,"{'verbose': False, 'n_estimators': 150, 'learning_rate': 0.1856559460609484}",0.7692307692307693,0.5,0.5,0.7692307692307693,0.5666666666666667,0.8521794871794872,0.8131413869559765,0.9901382458897738
visualizing_livestock,catboost,6,"{'verbose': False, 'n_estimators': 150, 'learning_rate': 0.47029117142535803}",0.9230769230769232,0.95,0.05,1.0,0.95,0.976923076923077,0.21099861105903986,0.7676033016580802
visualizing_livestock,catboost,7,"{'verbose': False, 'n_estimators': 50, 'learning_rate': 0.35330450786446926}",0.8461538461538461,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.9333333333333332,0.9809090909090908,0.8449576431885362,0.9431614755437924
visualizing_livestock,catboost,8,"{'verbose': False, 'n_estimators': 100, 'learning_rate': 0.014335314747690595}",0.6923076923076923,0.5666666666666667,0.43333333333333335,0.8,0.5833333333333334,0.8606715506715508,1.0930997729301453,0.9536940891009108
visualizing_livestock,catboost,9,"{'verbose': False, 'n_estimators': 100, 'learning_rate': 0.11413774723991654}",0.8461538461538461,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666667,0.900151515151515,0.2411439679563045,0.9461351527044406
steel-plates,catboost,0,"{'verbose': False, 'n_estimators': 175, 'learning_rate': 0.10636366352077128}",0.6923076923076923,0.11355311355311355,0.0,0.8436069552963632,0.9243734710341532,0.93370624132743,1.5705848359502852,0.08712494268249242
steel-plates,catboost,1,"{'verbose': False, 'n_estimators': 200, 'learning_rate': 0.17902926156680057}",0.7010309278350515,0.10622710622710622,0.0,0.8266864765122603,0.924017572398708,0.9361512531469752,1.6197685659863057,0.06746247497185602
