Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
spectf,Pystacknet,8,"{'RandomForestClassifier_est_1': 450, 'ExtraTreesClassifier_est': 100, 'verbose': 0}",0.8461538461538461,0.7523809523809524,0.24761904761904763,0.9047619047619048,0.8285714285714285,0.9600531549060962,1.8088782681152225,17.813120825359455
spectf,Pystacknet,9,"{'RandomForestClassifier_est_1': 300, 'ExtraTreesClassifier_est': 350, 'verbose': 0}",0.8076923076923077,0.6523809523809524,0.3476190476190476,0.8636363636363636,0.4666666666666666,0.838863628997852,1.750686602666974,11.784609872847795
breast-tissue,Pystacknet,0,"{'RandomForestClassifier_est_1': 100, 'ExtraTreesClassifier_est': 150, 'verbose': 0}",0.5454545454545454,0.4444444444444444,0.05,0.5,0.8537037037037037,0.8833333333333333,3.3342051804065704,24.023915302347053
breast-tissue,Pystacknet,1,"{'RandomForestClassifier_est_1': 250, 'ExtraTreesClassifier_est': 200, 'verbose': 0}",0.6363636363636364,0.4166666666666667,0.03333333333333333,0.5666666666666667,0.8611111111111112,0.9027777777777778,2.9460160369053483,24.694917469539426
breast-tissue,Pystacknet,2,"{'RandomForestClassifier_est_1': 200, 'ExtraTreesClassifier_est': 400, 'verbose': 0}",0.7272727272727273,0.3333333333333333,0.0,0.5833333333333334,0.9203703703703704,0.9416666666666665,2.459082297049463,162.45032601397148
breast-tissue,Pystacknet,3,"{'RandomForestClassifier_est_1': 300, 'ExtraTreesClassifier_est': 400, 'verbose': 0}",0.6363636363636364,0.3333333333333333,0.03333333333333333,0.6944444444444445,0.912962962962963,0.9388888888888888,1.7534654317423701,49.27126445214857
breast-tissue,Pystacknet,4,"{'RandomForestClassifier_est_1': 400, 'ExtraTreesClassifier_est': 200, 'verbose': 0}",0.5454545454545454,0.19444444444444448,0.06666666666666667,0.375,0.9319444444444445,0.9583333333333334,2.280211721546948,53.16509086300026
breast-tissue,Pystacknet,5,"{'RandomForestClassifier_est_1': 250, 'ExtraTreesClassifier_est': 100, 'verbose': 0}",0.7272727272727273,0.6666666666666666,0.016666666666666666,0.611111111111111,0.9648148148148148,0.9694444444444444,2.415011870674789,50.389720126986504
breast-tissue,Pystacknet,6,"{'RandomForestClassifier_est_1': 350, 'ExtraTreesClassifier_est': 400, 'verbose': 0}",0.5,0.3333333333333333,0.03333333333333333,0.5,0.8425925925925927,0.9,2.8785685915499926,26.313426438719034
breast-tissue,Pystacknet,7,"{'RandomForestClassifier_est_1': 450, 'ExtraTreesClassifier_est': 350, 'verbose': 0}",0.6,0.4166666666666667,0.03333333333333333,0.7083333333333334,0.8877314814814815,0.9388888888888888,2.3672683043405414,26.34169375523925
breast-tissue,Pystacknet,8,"{'RandomForestClassifier_est_1': 100, 'ExtraTreesClassifier_est': 100, 'verbose': 0}",0.8,0.6666666666666666,0.03333333333333333,0.75,0.9606481481481483,0.9694444444444444,3.9215313736349344,35.54751509800553
breast-tissue,Pystacknet,9,"{'RandomForestClassifier_est_1': 150, 'ExtraTreesClassifier_est': 350, 'verbose': 0}",0.6,0.25,0.05,0.611111111111111,0.9085648148148149,0.9472222222222222,2.9769225865602493,27.439369913190603
bank,Pystacknet,0,"{'RandomForestClassifier_est_1': 250, 'ExtraTreesClassifier_est': 250, 'verbose': 0}",0.891832229580574,0.635943396226415,0.3640566037735849,0.5714285714285714,0.0925,0.06500355004601123,2.5258274422958493,0.7415417618802841
bank,Pystacknet,1,"{'RandomForestClassifier_est_1': 450, 'ExtraTreesClassifier_est': 250, 'verbose': 0}",0.8938053097345132,0.6639423076923077,0.3360576923076923,0.5588235294117647,0.09807692307692308,0.06436118125687704,5.542842491529882,0.4212425782683149
bank,Pystacknet,2,"{'RandomForestClassifier_est_1': 450, 'ExtraTreesClassifier_est': 150, 'verbose': 0}",0.9004424778761062,0.6844230769230769,0.3155769230769231,0.6,0.10254807692307691,0.06437379400999402,3.239209749735892,1.1458287378196168
bank,Pystacknet,3,"{'RandomForestClassifier_est_1': 100, 'ExtraTreesClassifier_est': 350, 'verbose': 0}",0.8915929203539823,0.6794230769230769,0.3205769230769231,0.5384615384615384,0.09956730769230769,0.06439619114587909,7.976270580664277,0.6119304736334402
bank,Pystacknet,4,"{'RandomForestClassifier_est_1': 350, 'ExtraTreesClassifier_est': 300, 'verbose': 0}",0.9048672566371682,0.7120192307692308,0.2879807692307692,0.6153846153846154,0.10096153846153846,0.0644038667859769,9.780445260927081,0.8083484259195032
bank,Pystacknet,5,"{'RandomForestClassifier_est_1': 350, 'ExtraTreesClassifier_est': 450, 'verbose': 0}",0.9203539823008849,0.6873076923076923,0.3126923076923077,0.8333333333333334,0.08187499999999999,0.06332829764730595,3.7735261591151357,1.0647765006375525
bank,Pystacknet,6,"{'RandomForestClassifier_est_1': 250, 'ExtraTreesClassifier_est': 400, 'verbose': 0}",0.9004424778761062,0.6844230769230769,0.3155769230769231,0.6,0.089375,0.06339733305446206,4.554080719128251,0.48540532795003555
bank,Pystacknet,7,"{'RandomForestClassifier_est_1': 100, 'ExtraTreesClassifier_est': 100, 'verbose': 0}",0.8849557522123894,0.6589423076923077,0.3410576923076923,0.5,0.09538461538461539,0.06418771787459229,3.531561507843435,1.2806941182311393
bank,Pystacknet,8,"{'RandomForestClassifier_est_1': 450, 'ExtraTreesClassifier_est': 150, 'verbose': 0}",0.9004424778761062,0.6676923076923077,0.3323076923076923,0.6129032258064516,0.1497596153846154,0.06843446958682564,6.7344272611662745,0.5918098778455658
