Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
arrhythmia,H2O-GBM,7,"{'ntrees': 10, 'max_depth': 7, 'seed': 1}",0.09090909090909093,0.06444444444444446,0.17708333333333334,0.021825396825396824,0.3147502302765461,0.6836335172489149,168.71317926608023,16.732893291522156
arrhythmia,H2O-GBM,8,"{'ntrees': 70, 'max_depth': 7, 'seed': 1}",0.09090909090909093,0.06444444444444446,0.1875,0.02247765006385696,0.25765535447144994,0.637939391085228,112.9536331272684,16.32973994128406
arrhythmia,H2O-GBM,9,"{'ntrees': 10, 'max_depth': 5, 'seed': 1}",0.045454545454545456,0.05555555555555555,0.1597222222222222,0.006349206349206349,0.3515242284619393,0.6614434284585146,308.890099612996,13.894195181571625
lung-cancer,H2O-GBM,0,"{'ntrees': 10, 'max_depth': 3, 'min_rows': 45}",0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.5195038444670798,1.1857509352266788,10.508246827297489
lung-cancer,H2O-GBM,1,"{'ntrees': 10, 'max_depth': 5, 'min_rows': 35}",0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.5030346804611511,0.97870915196836,11.66451034637598
lung-cancer,H2O-GBM,2,"{'ntrees': 30, 'max_depth': 4, 'min_rows': 45}",0.038461538461538464,0.047619047619047616,0.5549242424242424,0.017543859649122806,0.17825719602035392,0.4747608429780626,0.33130909223109484,11.039298529235218
lung-cancer,H2O-GBM,3,"{'ntrees': 20, 'max_depth': 5, 'min_rows': 35}",0.1153846153846154,0.1845238095238096,0.6060606060606061,0.04545454545454545,0.26771126047441834,0.4767642889671306,0.5338497767224908,11.010300618811298
lung-cancer,H2O-GBM,4,"{'ntrees': 20, 'max_depth': 4, 'min_rows': 45}",0.0,0.0,0.6666666666666666,0.0,0.17777777777777778,0.5323029481291425,0.6432582885026932,11.373569257557392
lung-cancer,H2O-GBM,5,"{'ntrees': 10, 'max_depth': 5, 'min_rows': 15}",0.0,0.0,0.6666666666666666,0.0,0.17777777777777778,0.5187805197504308,1.1412664456292991,4.650437953666999
lung-cancer,H2O-GBM,6,"{'ntrees': 30, 'max_depth': 3, 'min_rows': 45}",0.0,0.0,0.6666666666666666,0.0,0.17777777777777778,0.5050075618825619,1.1627966137602923,20.40708843618632
lung-cancer,H2O-GBM,7,"{'ntrees': 30, 'max_depth': 4, 'min_rows': 45}",0.0,0.0,0.6666666666666666,0.0,0.1894117647058824,0.555773393953541,0.7493437118828297,12.468921206891535
